"mS","sin","lh","A","muHsq","muSsq"
10,0.13999999999999999,0.14828043695832813,9.27610746295592,8691.341248494533,407.1980473560956
10,0.16,0.14751088647615762,10.568574685825352,8644.740941028293,501.2230511639039
10,0.18,0.14663866041682672,11.847828875291471,8591.922919970615,607.7761230097674
10,0.19999999999999998,0.14566373358422655,13.11213093136017,8532.885622190157,726.8540153805722
10,0.22,0.14458607830503498,14.359709167861705,8467.627342398702,858.4530790150726
10,0.24,0.1434056646268709,15.588754695255583,8396.146247542074,1002.5692547484796
10,0.26,0.14212246053560865,16.797416445038653,8318.440392231763,1159.1980640878317
10,0.28,0.14073643219003362,17.983795773591602,8234.50773512256,1328.3345984995497
10,0.30000000000000004,0.1392475441727357,19.145940573409323,8144.346156184308,1509.9735073937281
11,0.02,0.15074268195086504,1.3363455063079812,8840.441884352484,127.26165922881263
11,0.04,0.15058901986800802,2.671076193249413,8831.136895859552,146.04625176599106
11,0.06,0.1503329113526176,4.0025741987035675,8815.628263556078,177.35321302372623
11,0.08,0.14997434881203117,5.3292151859813695,8793.915501954885,221.1816027277819
11,0.1,0.14951332160998992,6.649365034320606,8765.997933710427,277.53010395586904
11,0.12000000000000001,0.14894981608615399,7.9613764436731245,8731.87469304602,346.39702156296164
11,0.13999999999999999,0.14828381560318987,9.26358542467777,8691.544731123799,427.78027979133986
11,0.16,0.14751530062597015,10.554307643156191,8645.006823477881,521.6774189144073
11,0.18,0.14664424883332236,11.83183458586419,8592.259579427991,628.0855908010711
11,0.19999999999999998,0.14567063526005408,13.094429510613914,8533.301453266447,747.0015533223524
11,0.22,0.144594432465854,14.34032313929079,8468.13075697782,878.4216635480208
11,0.24,0.1434156107276652,15.567709046681395,8396.745674271924,1022.3418696981803
11,0.26,0.14213413825272614,16.77473869126105,8319.144275764429,1178.7577018251493
11,0.28,0.14074998141014844,17.959516025919466,8235.324535182184,1347.6642612071253
11,0.30000000000000004,0.13926310497962027,19.12009161670226,8145.284346520147,1529.056208439
12,0.02,0.15074275745466018,1.3343672002585394,8840.446429348654,150.25232014081217
12,0.04,0.15058932189843474,2.6671219563550337,8831.155079818107,169.0088960828884
12,0.06,0.1503335909696986,3.9966487856581545,8815.669184328182,200.2691642569881
12,0.08,0.14997555714317293,5.3213257410563815,8793.988264008896,244.03218606257187
12,0.1,0.1495152098842704,6.639521107194987,8766.111650892322,300.29664687436167
12,0.12000000000000001,0.14895253567027766,7.949590011481529,8732.03849120225,369.0608544648656
12,0.13999999999999999,0.14828751803553633,9.249870920560062,8691.767750384404,450.3227366424416
12,0.16,0.14752013764549912,10.5386819913883,8645.29822004479,544.0798379550608
12,0.18,0.14665037240128295,11.81431724353515,8592.628526790826,650.3293153406522
12,0.19999999999999998,0.1456781975738431,13.075042515813735,8533.757142853032,769.0679326371587
12,0.22,0.14460358596544867,14.319091165863389,8468.682398301824,900.2920538923488
12,0.24,0.14342650809566315,15.544659465736375,8397.402494669215,1043.9976354329292
12,0.26,0.14214693240920293,16.749901639793777,8319.915519807697,1200.1802166653702
12,0.28,0.14076482550349523,17.932924483045163,8236.21946385781,1368.8349095889123
12,0.30000000000000004,0.13928015237428243,19.091781488160777,8146.3122362269605,1549.9563870061745
13,0.02,0.15074283957064996,1.332216867922206,8840.451373460066,175.24216919102224
13,0.04,0.1505896503779033,2.662823875404967,8831.174860310932,193.96829302383284
13,0.06,0.15033433009717856,3.9902081282335935,8815.713697240419,225.17780906445327
13,0.08,0.1499768712693162,5.312750278642018,8794.067411773189,268.86978058586845
13,0.1,0.14951726345848493,6.628821227622764,8766.235344999099,325.04289554070937
13,0.12000000000000001,0.14895549327529117,7.936778742472583,8732.216654774835,393.69546497729533
13,0.13999999999999999,0.1482915444211541,9.234963960151275,8692.010320505937,474.8254206989665
13,0.16,0.1475253977587125,10.52169774542967,8645.615149688905,568.43031202061
13,0.18,0.14665703141057523,11.795276870331866,8593.02978626254,674.5073015002567
13,0.19999999999999998,0.14568642088655556,13.053969977958722,8534.252720707764,793.0531595521461
13,0.22,0.14461353923803177,14.296013289360456,8469.282301766578,924.0642578739134
13,0.24,0.1434383572373235,15.519606006626896,8398.116749623336,1067.5365616413437
13,0.26,0.14216084357981162,16.722905358645093,8320.754170397224,1223.4656204390287
13,0.28,0.14078096510671795,17.904021227817292,8237.192571813039,1391.84655790517
13,0.30000000000000004,0.1392986870468368,19.061010286132863,8147.429879949185,1572.674060075186
14,0.02,0.15074292830129044,1.329894509320791,8840.45671690668,202.2312064375971
14,0.04,0.15059000531625275,2.658181950573215,8831.196238214734,220.92444282281627
14,0.06,0.1503351287574005,3.9832522270164845,8815.761804288217,252.0791479750526
14,0.08,0.14997829123097675,5.303488800139459,8794.152948871935,295.694387243498
14,0.1,0.14951948239789759,6.617265398397882,8766.36902185429,351.76885144434567
14,0.12000000000000001,0.14895868899881248,7.922942641637159,8732.409192412711,420.3008552680951
14,0.13999999999999999,0.14829589489834427,9.218864551709595,8692.272453609763,501.28833495484673
14,0.16,0.14753108115295807,10.50335491814773,8645.95762861891,594.7288450969809
14,0.18,0.1466642261050998,11.77471348530236,8593.463378659924,700.619554446518
14,0.19999999999999998,0.14569530550444404,13.031211923993745,8534.78821262908,818.9572406288129
14,0.22,0.14462429265567384,14.271089546374492,8469.930498342288,949.7382836887837
14,0.24,0.14345115859134497,15.492548717262103,8398.888475270087,1092.95865841695
14,0.26,0.14217587226799488,16.693749908521564,8321.660268634112,1248.6139254187915
14,0.28,0.1407984007836389,17.872806334946777,8238.243904742078,1416.6992209025161
14,0.30000000000000004,0.1393187096149779,19.027778100205023,8148.63732745532,1597.2092451681701
15,0.02,0.15074302364866277,1.3274001244737872,8840.4624598786,231.2194319433503
15,0.04,0.1505903867218094,2.6531961820152206,8831.219214285085,249.8773457324248
15,0.06,0.15033598696923434,3.9757810825300193,8815.813507187702,280.97318155933755
15,0.08,0.14997981706225255,5.2935413067933315,8794.244878412785,324.5060070546635
15,0.1,0.14952186675720622,6.6048536219863605,8766.512686437542,380.4745161877739
15,0.12000000000000001,0.14896212292236782,7.908081713348644,8732.616111497184,448.87702766426395
15,0.13999999999999999,0.14830056958243176,9.201572702427134,8692.55416003919,529.711482613245
15,0.16,0.1475371879846359,10.483653520708454,8646.325670693432,622.9754414304363
15,0.18,0.1466719566892566,11.752627104968377,8593.929321855292,728.6660796556805
15,0.19999999999999998,0.14570485168575778,13.00676837734991,8535.363640898371,846.7801827836802
15,0.22,0.1446358465346214,14.244319968886273,8470.627014973961,977.3141399289514
15,0.24,0.1434649125339887,15.463487639798746,8399.717703307895,1120.2639362865025
15,0.26,0.14219201890972114,16.662435343266537,8322.633850889539,1275.6251443466533
15,0.28,0.14081713302730922,17.839279871266758,8239.37350344173,1443.3929138352262
15,0.30000000000000004,0.13934022062409906,18.992085011221935,8149.934623573414,1623.5619603595637
